,source_id,target_id,pair_id,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
140,http://mouse.owl#MA_0001913,http://human.owl#NCI_C52848,http://mouse.owl#MA_0001913-http://human.owl#NCI_C52848,True,0.14714177,-0.0707713,0.16451302,0.10137989,0.190272,-0.10380611,0.071841516,0.08689967,-0.05539129,-0.18143624
1100,http://mouse.owl#MA_0002432,http://human.owl#NCI_C33199,http://mouse.owl#MA_0002432-http://human.owl#NCI_C33199,True,0.052579336,0.018152803,0.00047177076,0.05653641,0.007685628,-0.031584226,0.124208756,0.12904239,-0.2627648,0.13166341
1005,http://mouse.owl#MA_0001779,http://human.owl#NCI_C49254,http://mouse.owl#MA_0001779-http://human.owl#NCI_C49254,True,0.12960196,-0.036360882,0.0092743635,0.0075975806,0.05036422,-0.09293765,0.11177999,0.1969944,-0.1997112,0.0032040207
660,http://mouse.owl#MA_0000275,http://human.owl#NCI_C12743,http://mouse.owl#MA_0000275-http://human.owl#NCI_C12743,True,0.23800485,0.12024941,0.047175005,0.21944413,0.17561966,-0.09525125,0.1943428,0.26700136,-0.38170832,0.10258155
1201,http://mouse.owl#MA_0000469,http://human.owl#NCI_C52843,http://mouse.owl#MA_0000469-http://human.owl#NCI_C52843,True,0.19756109,0.02806583,0.13226049,0.012518391,-0.105428636,-0.21051787,0.13676977,-0.048165917,-0.1052924,-0.05446925
932,http://mouse.owl#MA_0001883,http://human.owl#NCI_C49593,http://mouse.owl#MA_0001883-http://human.owl#NCI_C49593,True,0.091172285,-0.08106083,0.12011041,0.14564507,-0.00838137,-0.03259501,0.038897086,0.111522526,-0.13290767,0.089812644
1074,http://mouse.owl#MA_0000309,http://human.owl#NCI_C12933,http://mouse.owl#MA_0000309-http://human.owl#NCI_C12933,True,0.19869563,-0.011481727,0.0012370981,-0.035699442,0.04377471,-0.20370078,0.1220712,0.24913317,-0.60541475,-0.22262913
532,http://mouse.owl#MA_0001252,http://human.owl#NCI_C49226,http://mouse.owl#MA_0001252-http://human.owl#NCI_C49226,True,-0.008657321,0.15447791,-0.050808348,-0.019303508,0.049510814,0.007988989,-0.029463474,0.005941458,-0.10906322,-0.06833353
199,http://mouse.owl#MA_0000285,http://human.owl#NCI_C33160,http://mouse.owl#MA_0000285-http://human.owl#NCI_C33160,True,-0.06601435,-0.027825542,-0.04701817,0.0862204,0.1298105,-0.049941488,0.100993484,-0.0016470943,-0.25561112,-0.15020716
904,http://mouse.owl#MA_0000185,http://human.owl#NCI_C12443,http://mouse.owl#MA_0000185-http://human.owl#NCI_C12443,True,0.24579102,0.032995053,0.047329642,0.13706362,-0.018461544,-0.04400569,0.13786173,0.2516592,-0.32738993,-0.129446
1227,http://mouse.owl#MA_0001351,http://human.owl#NCI_C52799,http://mouse.owl#MA_0001351-http://human.owl#NCI_C52799,True,0.060612552,0.13909048,0.035272777,0.051409975,0.10869555,0.049647857,0.024369624,0.039759796,-0.11578112,0.063711196
1426,http://mouse.owl#MA_0002521,http://human.owl#NCI_C13713,http://mouse.owl#MA_0002521-http://human.owl#NCI_C13713,True,0.072757564,0.060460526,0.027485529,0.21320996,0.032646455,-0.021858297,0.096484885,0.042094238,-0.30050427,0.100968875
528,http://mouse.owl#MA_0002671,http://human.owl#NCI_C33599,http://mouse.owl#MA_0002671-http://human.owl#NCI_C33599,True,-0.043050762,-0.01998591,-0.083853275,0.101937756,-0.061468605,-0.0007515587,0.12595323,0.011368038,0.100840345,-0.13746914
1251,http://mouse.owl#MA_0002523,http://human.owl#NCI_C33529,http://mouse.owl#MA_0002523-http://human.owl#NCI_C33529,True,0.10722546,0.13663849,0.13552125,0.13546465,0.018956438,-0.07002254,0.11614356,0.15827698,-0.27437705,-0.04055527
10,http://mouse.owl#MA_0002478,http://human.owl#NCI_C12999,http://mouse.owl#MA_0002478-http://human.owl#NCI_C12999,True,-0.06780008,0.20537141,0.044331387,-0.042803697,0.009620121,-0.04879806,0.13242824,0.12241563,-0.31916416,-0.04349103
147,http://mouse.owl#MA_0000950,http://human.owl#NCI_C32246,http://mouse.owl#MA_0000950-http://human.owl#NCI_C32246,True,0.12428473,0.038288824,-0.090122625,0.04255832,-0.09531821,-0.051520616,-0.005572822,-0.09374054,-0.124969885,0.119881175
983,http://mouse.owl#MA_0000226,http://human.owl#NCI_C12467,http://mouse.owl#MA_0000226-http://human.owl#NCI_C12467,True,0.08956484,-0.0748481,0.12776461,-0.010882715,0.018390292,0.01891021,0.16392554,0.15162374,-0.28158137,-0.06446153
282,http://mouse.owl#MA_0002574,http://human.owl#NCI_C12825,http://mouse.owl#MA_0002574-http://human.owl#NCI_C12825,True,-0.05929235,0.058159437,-0.027789138,-0.088972434,0.11635934,-0.14026567,0.09265843,0.13435589,-0.043279782,-0.036784686
298,http://mouse.owl#MA_0000290,http://human.owl#NCI_C49477,http://mouse.owl#MA_0000290-http://human.owl#NCI_C49477,True,0.18035838,0.09373994,0.04245792,-0.038536545,-0.15614714,-0.07892802,0.13160107,0.12693855,-0.22565642,-0.13837352
