,source_id,target_id,pair_id,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
140,http://mouse.owl#MA_0001913,http://human.owl#NCI_C52848,http://mouse.owl#MA_0001913-http://human.owl#NCI_C52848,True,-0.023497328,0.02670551,0.040446494,0.07190562,-0.0035833083,-0.039048713,0.0693537,-0.025064318,-0.070218384,0.101661496,-0.07209647,-0.064185336,-0.011220967,0.07183628,-0.036709975,0.0016486417,0.04349032,-0.052396048,0.012913439,-0.029191699
1100,http://mouse.owl#MA_0000407,http://human.owl#NCI_C12323,http://mouse.owl#MA_0000407-http://human.owl#NCI_C12323,True,-0.075496264,0.11639056,0.022506535,-0.049201436,0.050112415,-0.095262825,0.124008596,0.114983045,-0.15955952,0.09637738,0.030792557,-0.13361113,0.13572004,-0.08592677,0.17037906,-9.8869554e-05,0.17071171,-0.13387917,-0.041883484,0.055507135
1005,http://mouse.owl#MA_0002383,http://human.owl#NCI_C53044,http://mouse.owl#MA_0002383-http://human.owl#NCI_C53044,True,-0.037927132,0.0024585593,-0.06452067,0.004926956,-0.030240238,0.07545583,-0.015251171,-2.8233975e-05,-0.06812187,-0.062443726,0.032188635,-0.020707354,-0.027024472,-0.06662518,0.06979653,0.014110468,0.062811054,-0.0014556274,-0.013438731,-0.010613475
660,http://mouse.owl#MA_0002647,http://human.owl#NCI_C33091,http://mouse.owl#MA_0002647-http://human.owl#NCI_C33091,True,-0.05260304,0.015325525,0.053652186,-0.003603194,0.033525683,-0.04418449,0.06712425,0.11125836,-0.025662076,0.049538553,0.03335647,-0.044119187,0.059429042,-0.037946124,0.043047618,0.0408207,0.09024367,-0.12096047,-0.098590985,-0.082377344
1201,http://mouse.owl#MA_0001531,http://human.owl#NCI_C32548,http://mouse.owl#MA_0001531-http://human.owl#NCI_C32548,True,-0.06943157,0.031306084,0.06961202,0.026040142,0.024902867,0.061120674,0.07667822,0.03944149,-0.07622044,0.057656467,0.05100612,-0.09074084,0.031417646,-0.013710181,0.09756301,0.073328525,0.06177999,-0.049505908,-0.06507594,0.020747155
932,http://mouse.owl#MA_0002221,http://human.owl#NCI_C12794,http://mouse.owl#MA_0002221-http://human.owl#NCI_C12794,True,-0.0666983,-0.035830062,0.029544666,-0.053961903,-0.0657741,0.016189435,0.07207755,0.08795196,-0.08516783,0.017359478,0.031899795,-0.04000363,0.024691284,-0.018885847,0.010863162,-0.0718723,0.079102606,-0.045425095,-0.046450358,-0.0064262673
1074,http://mouse.owl#MA_0002662,http://human.owl#NCI_C43617,http://mouse.owl#MA_0002662-http://human.owl#NCI_C43617,True,0.052845813,0.03966673,0.085584626,0.07677704,-0.028924856,0.0025926847,-0.009581916,0.16608739,-0.12850446,0.09291443,0.076068535,-0.029772604,-0.016780563,-0.105803564,0.019720986,-0.025938261,0.05318896,-0.08470581,0.012243208,0.03151298
532,http://mouse.owl#MA_0001215,http://human.owl#NCI_C32770,http://mouse.owl#MA_0001215-http://human.owl#NCI_C32770,True,-0.015262904,0.024712712,0.023650793,0.021955214,0.04341562,-0.051355705,-0.01087629,0.07638574,0.008243119,0.07836903,-0.016197355,0.0048962776,0.028422382,0.042427037,0.041008044,0.09138333,0.10298051,-0.106364876,-0.00033774227,-0.045358647
199,http://mouse.owl#MA_0002477,http://human.owl#NCI_C12230,http://mouse.owl#MA_0002477-http://human.owl#NCI_C12230,True,-0.08355707,-0.03627871,-0.06216929,0.006716583,0.060904015,0.021913884,-0.02647765,0.114526734,0.023647122,0.038199276,0.023857076,-0.018533152,0.07345955,-0.02258299,0.046203893,0.044421047,0.052843854,-0.024709543,0.039479934,0.00024401583
904,http://mouse.owl#MA_0001854,http://human.owl#NCI_C49302,http://mouse.owl#MA_0001854-http://human.owl#NCI_C49302,True,0.024480097,0.07467989,0.050385863,-0.019911647,0.08747985,0.02469105,0.09060359,0.100957364,0.008115677,0.05346671,0.04625348,-0.028282242,0.043154072,-0.010423699,0.085750036,0.029663203,0.096545264,-0.060758602,-0.04527599,0.02113539
