,source_id,target_id,pair_id,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
140,http://mouse.owl#MA_0000983,http://human.owl#NCI_C32308,http://mouse.owl#MA_0000983-http://human.owl#NCI_C32308,True,0.0048520444,0.016858084,0.07265129,-0.063192315,0.022138216,-0.0028226767,0.07864905,0.03328302,-0.03208065,-0.009448088,0.006663922,0.043089118,-0.08363066,-0.057252854,0.061648354,-0.001057127,0.032977525,0.047216654,-0.041432936,0.015932582,-0.02621903,0.04276479,-0.040254876,0.054157667,0.045991067,0.021197688,-0.012459224,0.017991018,-0.034030594,-0.018829517
1100,http://mouse.owl#MA_0002431,http://human.owl#NCI_C12378,http://mouse.owl#MA_0002431-http://human.owl#NCI_C12378,True,-0.06715479,-0.009804151,0.16475433,-0.102356136,0.065587394,0.018311163,0.11342308,0.024247479,-0.11207834,0.021876968,0.04089413,0.084062934,-0.07668569,-0.201052,0.08115673,0.012566544,0.11440784,0.044983312,-0.026196556,0.091379955,-0.022001699,-0.060031794,-0.04714741,0.13911821,0.004664628,0.09219228,0.07002373,-0.041136775,-0.044074092,0.07844422
1005,http://mouse.owl#MA_0000217,http://human.owl#NCI_C12466,http://mouse.owl#MA_0000217-http://human.owl#NCI_C12466,True,-0.08820101,0.015711628,0.13976401,-0.09487646,0.08101602,-0.005541824,0.13038945,0.04058375,-0.079218656,-0.025931403,0.0028267317,0.093036205,-0.10131054,-0.17024599,0.06442708,-0.025006276,0.11064653,0.09807251,-0.08061882,0.15606517,-0.04879817,-0.017532695,0.027549548,0.08662564,0.03212215,0.020955238,0.052813016,-0.031517856,-0.026094254,0.09839459
660,http://mouse.owl#MA_0002048,http://human.owl#NCI_C53000,http://mouse.owl#MA_0002048-http://human.owl#NCI_C53000,True,-0.04593698,-0.01519789,0.04195715,-0.08262817,-0.020289194,0.027862852,0.02638784,0.012166968,-0.08453425,0.030540856,0.03566356,-0.021038424,-0.055982467,-0.037087202,0.08745001,-0.03894226,0.05451456,0.008632882,-0.051510826,-0.017137554,-0.025022797,-0.032878622,-0.0026668338,0.054438904,0.008538781,0.013212293,0.047000498,0.03820502,0.008124543,0.08339558
1201,http://mouse.owl#MA_0001200,http://human.owl#NCI_C33083,http://mouse.owl#MA_0001200-http://human.owl#NCI_C33083,True,-0.05340839,-0.031993516,0.09860386,-0.09521748,0.04999836,-0.034402706,0.029817069,0.021050604,-0.032850903,0.06946872,0.02695616,0.069936566,-0.0881733,-0.090796925,0.06551316,-0.01815621,0.07042799,0.051733553,-0.01076751,0.055179276,0.020496724,-0.015325859,-0.015072094,0.103921674,-0.035227884,-0.022684287,0.029813541,0.032929778,-0.006018834,0.06900412
932,http://mouse.owl#MA_0002023,http://human.owl#NCI_C33357,http://mouse.owl#MA_0002023-http://human.owl#NCI_C33357,True,-0.079252094,0.022128653,0.030789375,-0.054355472,0.05692702,-0.047133535,0.057096273,-0.009574827,0.0117749395,-0.006738141,0.014057891,0.040320918,-0.011611633,-0.02712684,-0.017508296,-0.032134663,0.03266079,0.035530426,-0.025051765,0.043953266,0.0040846104,-0.01470536,0.0025402438,-0.0141749745,0.017717153,0.026687354,0.05341912,-0.038395222,-0.028078582,0.011855884
1074,http://mouse.owl#MA_0002393,http://human.owl#NCI_C53178,http://mouse.owl#MA_0002393-http://human.owl#NCI_C53178,True,-0.022802543,0.05174493,0.025396533,-0.06545164,-0.021826716,-0.0015845802,0.0259849,0.016417248,-0.037070774,0.039890647,-0.0072052013,0.03313348,-0.002416764,-0.044458658,0.06586491,-0.03845705,0.0011492018,0.082301065,0.035566933,0.0091993585,0.01937267,-0.030698309,-0.024410155,0.007532155,-0.034163292,0.019400548,0.019591238,-0.040662736,-0.0067878086,-0.001440069
532,http://mouse.owl#MA_0000332,http://human.owl#NCI_C13066,http://mouse.owl#MA_0000332-http://human.owl#NCI_C13066,True,0.012884509,0.0024551284,0.0047610346,-0.019521346,-0.032037392,-0.054586567,0.019608472,0.014120467,-0.04407085,-0.009476922,0.016347036,-0.012177722,-0.007958241,-0.009416377,0.031562623,0.0061787274,-0.0004918091,0.012731763,0.024983803,0.06406538,0.0004985314,0.026540386,-0.02210033,0.06463405,-0.0013801754,-0.012875222,0.028259259,-0.032965556,-0.019092526,0.0028692381
199,http://mouse.owl#MA_0000430,http://human.owl#NCI_C12286,http://mouse.owl#MA_0000430-http://human.owl#NCI_C12286,True,-0.01195257,0.049102195,0.12042281,-0.0517596,0.07421708,-0.026383983,0.040468875,0.014747098,-0.104908936,-0.047006123,-0.01672298,0.03701499,-0.03952498,-0.06721258,0.046406623,-0.00930335,0.05667743,0.01643936,0.0013951017,0.038558573,-0.046403565,-0.057800055,-0.0027970374,0.091822185,0.012713142,0.036164925,0.018761685,-0.00012722984,-0.023848055,0.055695336
904,http://mouse.owl#MA_0002407,http://human.owl#NCI_C12929,http://mouse.owl#MA_0002407-http://human.owl#NCI_C12929,True,-0.18994857,-0.06563188,0.14809698,-0.123519115,0.04227565,-0.056014135,0.1464827,0.034753945,-0.095512815,-0.041517965,0.06585417,0.1557205,-0.20467997,-0.19819379,0.15734355,-0.04366379,0.14775273,0.1297175,-0.08525251,0.11597578,-0.030385625,-0.014405066,0.01065338,0.13291514,0.022590086,0.063559964,0.10987412,-0.041715648,-0.0937638,0.09141806
1227,http://mouse.owl#MA_0002086,http://human.owl#NCI_C32197,http://mouse.owl#MA_0002086-http://human.owl#NCI_C32197,True,-0.033670638,-0.0681471,0.07894625,-0.05744855,0.03197724,-0.063528895,0.011908103,0.015947487,-0.051740147,0.042532593,0.06328241,0.06929333,-0.07750426,-0.070975855,0.09268536,-0.026046783,0.076238625,0.029258693,-0.07166368,0.04894152,0.014838568,0.009075728,0.008828101,0.076814026,0.040154997,-0.025012197,0.096219674,-0.04299333,0.0019209278,0.023625623
1426,http://mouse.owl#MA_0000011,http://human.owl#NCI_C12374,http://mouse.owl#MA_0000011-http://human.owl#NCI_C12374,True,-0.1238592,-0.08100785,0.20727259,-0.19566938,0.065685555,-0.049017414,0.13434009,0.08640719,-0.14484888,-0.043385446,0.004996769,0.13262725,-0.21635918,-0.304379,0.0979308,-0.08700761,0.1631556,0.0852804,-0.10214124,0.14585459,-0.05530438,0.0058033755,-0.043895088,0.17966655,0.0066710087,-0.013136234,0.14244857,-0.015697416,-0.09538515,0.14123642
528,http://mouse.owl#MA_0000199,http://human.owl#NCI_C49216,http://mouse.owl#MA_0000199-http://human.owl#NCI_C49216,True,-0.005759839,-0.06728979,0.13166058,-0.054300666,-0.034876294,-0.008134886,0.06316732,0.0065134615,-0.027526598,0.023716085,0.031949382,0.07770211,-0.054994557,-0.088064864,0.017180702,-0.042604923,0.08254674,0.07316994,-0.08637972,0.06989073,-0.01512671,-0.014627693,0.031481788,0.00759389,0.055764776,0.05634806,0.08936638,0.033343107,-0.031723663,0.011479083
1251,http://mouse.owl#MA_0002349,http://human.owl#NCI_C52972,http://mouse.owl#MA_0002349-http://human.owl#NCI_C52972,True,-0.04640521,0.006627841,0.034720823,-0.026997104,0.037961394,0.0111723915,0.002035819,0.057900958,-0.0141453855,-0.011969312,0.0060223453,-0.0098903105,-0.030788852,-0.036155783,0.005157957,-0.024229344,0.042233925,0.005316088,0.01852368,0.018095823,-0.023306914,-0.0060199057,-0.0059781885,0.06739702,-0.0035308506,-0.006270768,0.030092437,0.014642969,-0.013036697,0.02430685
10,http://mouse.owl#MA_0000284,http://human.owl#NCI_C12424,http://mouse.owl#MA_0000284-http://human.owl#NCI_C12424,True,-0.12956187,-0.027881866,0.17438553,-0.103539795,0.058261093,0.033603895,0.058669165,0.05175806,-0.10357026,0.018472329,0.036697917,0.12590244,-0.14860186,-0.16229802,0.10951369,-0.055107202,0.09267011,0.06354408,-0.039021216,0.10525729,-0.049207613,-0.018995628,-0.027926864,0.14123802,0.025860367,0.033082645,0.109184,-0.05986411,-0.09158125,0.06775253
147,http://mouse.owl#MA_0001654,http://human.owl#NCI_C12886,http://mouse.owl#MA_0001654-http://human.owl#NCI_C12886,True,-0.03971348,0.008295792,0.049445808,-0.06677894,0.0008200202,-0.017081233,0.09205818,0.065742955,-0.03198776,0.045406647,0.04996894,0.05657117,-0.032701507,-0.032481723,0.015772603,-0.038925968,0.018657545,-0.023806915,0.041153975,0.06968362,-0.06556644,-0.04419226,-0.02128721,0.0771176,-0.0029016547,0.017657334,0.0018375684,0.03891899,-0.008156639,0.03984637
983,http://mouse.owl#MA_0001765,http://human.owl#NCI_C49247,http://mouse.owl#MA_0001765-http://human.owl#NCI_C49247,True,-0.038436323,-0.03829473,0.05038679,-0.07517541,0.05231455,0.009552187,0.0868145,0.06684083,-0.08175001,0.014458418,-0.008220293,0.052870095,-0.06316368,-0.07541921,0.03805351,0.035002597,0.04283899,0.021352384,-0.017580777,-0.0027374458,-0.007247148,0.028488837,0.04792288,0.0006235023,0.010690566,0.0547003,0.06250711,-0.021266894,-0.046219014,0.03749236
282,http://mouse.owl#MA_0001420,http://human.owl#NCI_C32334,http://mouse.owl#MA_0001420-http://human.owl#NCI_C32334,True,-0.08572662,0.009803088,0.0782717,-0.06854714,0.004360717,0.032165613,0.07025096,0.011110117,-0.045134403,-0.040460736,0.030765384,0.08094859,-0.09091086,-0.056475677,-0.01804503,-0.005620969,0.07068081,0.035500642,-0.08416057,0.03915405,-0.0021218406,-0.03550064,0.040966265,0.03426357,-0.00030754134,0.048620213,-0.0053710574,0.0012595518,-0.023439731,0.06536762
298,http://mouse.owl#MA_0002493,http://human.owl#NCI_C48941,http://mouse.owl#MA_0002493-http://human.owl#NCI_C48941,True,-0.079656065,0.022286307,0.05643758,-0.055731036,0.00894107,-0.0015289616,0.012560502,0.010766613,-0.03579154,-0.01812686,0.051572055,0.08629435,-0.082762405,-0.06777156,0.06578968,0.018294685,0.05226578,0.039853342,-0.045639623,0.07438515,-0.021714997,-0.035090253,-0.011783857,0.028245429,0.009120297,0.030063914,0.0692161,-0.015594925,-0.0011745272,-0.0058839303
629,http://mouse.owl#MA_0001276,http://human.owl#NCI_C32783,http://mouse.owl#MA_0001276-http://human.owl#NCI_C32783,True,0.003976339,-0.028914038,0.068807445,-0.07556787,0.040713295,0.036510877,0.010158567,0.012108384,-0.03230285,-0.03889767,-0.0072546136,0.025578776,-0.019753307,-0.03741101,-0.010429594,0.005154431,0.04703995,0.022527017,-0.010427086,0.06684853,0.015371161,0.014355597,-0.045651995,0.03090604,0.0023635663,-0.002219622,0.012554599,-0.020249858,-0.025927292,0.0097517725
291,http://mouse.owl#MA_0002118,http://human.owl#NCI_C12716,http://mouse.owl#MA_0002118-http://human.owl#NCI_C12716,True,-0.04908271,0.030587252,0.10500057,-0.09954332,0.011294041,-0.020197507,0.041846953,-0.019044578,-0.028204713,-0.03522351,0.058565047,0.06570476,-0.102600336,-0.13486706,0.054334015,0.048745975,0.110798225,0.10189312,-0.057300985,0.04957838,-0.006778132,-0.010443997,0.012801698,0.043141335,0.04483443,0.0062823677,0.048341837,-0.0030401563,-0.03567897,0.06736691
