,source_id,target_id,pair_id,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
140,http://mouse.owl#MA_0002315,http://human.owl#NCI_C52704,http://mouse.owl#MA_0002315-http://human.owl#NCI_C52704,True,-0.04161478,0.00401628,-0.02122475,-0.029139519,0.0032794243,-0.008841595,0.045996904,0.048091583,-0.0696323,0.020420805,-0.0030956324,-0.0017144622,-0.0024313182,-0.010826737,0.009240344,0.0189567,0.018639375,0.04483811,-0.051025137,-0.028235285,0.03609041,-0.030946147,0.07024932,-0.007802169,-0.006616272,-0.009695357,0.013569603,0.01911658,-0.027391478,0.032327604,0.041217443,0.019989666,-0.0305353,0.014178233,-0.02889102,0.021643862,0.06378429,-0.014428078,0.012140587,0.044919226,-0.012901183,-0.02400078,0.0072531197,0.0114338435,0.07334392,0.03648506,-0.005710062,-0.033105485,-0.02203603,0.041172832
1100,http://mouse.owl#MA_0001265,http://human.owl#NCI_C12901,http://mouse.owl#MA_0001265-http://human.owl#NCI_C12901,True,-0.017549684,0.031280793,-0.04879018,0.0026147938,0.0069481535,-0.04458001,0.01945803,0.04835447,-0.031079412,-0.009343406,-0.022238825,-0.012845568,-0.032081388,-0.017129611,0.005098654,0.012284011,0.038349085,0.013523489,-0.041156314,-0.024294363,0.05229017,-0.0014199424,0.03073554,-0.02597037,-0.01076059,0.0064055547,0.03379956,-0.004168854,-0.021780793,0.02093513,0.015223408,-0.018774727,-0.01936526,-0.002342822,-0.0111015,0.00075580645,0.016300682,-0.041533917,-0.017701535,0.028889103,0.017140293,-0.0110398345,-0.05324122,-0.03655893,0.04375905,0.037132643,0.0065730307,0.00010149181,-0.03318113,0.013962521
1005,http://mouse.owl#MA_0002470,http://human.owl#NCI_C52558,http://mouse.owl#MA_0002470-http://human.owl#NCI_C52558,True,-0.060427874,0.02447964,-0.020925952,0.029525945,0.015170423,-0.010165941,0.06503837,0.027382815,-0.05584197,0.0037934938,0.00312219,-0.022775281,-0.031320304,-0.015761511,0.01353047,0.0023597416,0.020113546,0.022277657,-0.0592301,-0.0245786,0.014394276,0.024158219,0.050811395,-0.007854611,-0.01668342,0.030583486,0.011833912,0.041530512,-0.040641584,0.0090972595,-0.0047524148,-0.018939253,0.010406516,0.00022117235,0.0076936968,0.019924723,0.09018411,-0.020184455,0.030000914,0.03416598,0.014280372,0.009986159,0.010182807,0.019247845,0.05544869,0.04063406,0.036497414,-0.0060858605,-0.006176856,0.017092278
660,http://mouse.owl#MA_0001421,http://human.owl#NCI_C32239,http://mouse.owl#MA_0001421-http://human.owl#NCI_C32239,True,-0.042628653,0.024985624,0.010741253,-0.006825382,0.005889601,-0.042500675,0.0158487,0.041770466,-0.041320913,-0.005240625,0.0068742433,-0.0099547645,-0.018038318,-0.011210879,-0.010633178,-0.016394556,0.05436253,0.076261915,-0.047159657,-0.029695064,0.024903003,0.014755053,0.057224132,-0.018127272,0.028215952,0.022474043,-0.009418349,0.02711597,-0.03153789,-0.012372552,0.04176676,-0.02924038,-0.01173786,-0.04564391,-0.04206115,0.00991611,0.061402418,-0.021312483,0.008877057,0.01883882,-0.0007251613,0.015600803,-0.03848923,-0.027521938,0.05701945,-0.00019717403,0.019294728,-0.024631005,-0.009510542,0.03839752
1201,http://mouse.owl#MA_0000004,http://human.owl#NCI_C33816,http://mouse.owl#MA_0000004-http://human.owl#NCI_C33816,True,-0.12523511,0.0346882,-0.061367333,-0.004066999,0.031380247,-0.0995097,0.053146154,0.05435063,-0.07558478,-0.0071687447,0.04220333,-0.07174933,-0.024936147,-0.015866661,0.016704278,-0.0018392438,0.055880487,0.038989697,-0.09908037,0.005098025,0.0422967,0.0031097631,0.12617563,-0.03936392,0.052363586,0.007875869,0.034421977,0.06497409,-0.088638246,0.010858823,0.05029517,-0.059800617,-0.009292925,-0.034908306,-0.048266,0.011147515,0.12544759,-0.037648264,0.0017945475,0.09062965,0.007858498,0.001940134,-0.03551924,-0.033960775,0.11535327,0.07522515,-0.008346131,-0.07974192,0.036936916,0.066133216
932,http://mouse.owl#MA_0000746,http://human.owl#NCI_C33035,http://mouse.owl#MA_0000746-http://human.owl#NCI_C33035,True,-0.05990743,0.0318827,-0.015711416,0.016511736,0.0092500355,-0.005319256,0.04491257,0.019646082,-0.039159328,-0.029959278,-0.0205553,-0.03153608,-0.02114267,-0.00720548,0.045356467,0.006275654,0.029297631,0.031377252,-0.05277136,-0.033944834,0.0010029925,-0.019326672,0.06856044,-0.010463931,0.04939019,0.014288022,-0.0027648173,0.04524867,-0.01967239,-0.016684953,-0.0040614153,0.0007940633,0.03113566,-0.027953047,-0.009139553,-0.027949508,0.052457657,-0.026281836,-0.018092759,0.014609066,-0.009021793,-0.0026033842,-0.050991777,-0.008678372,0.05227101,-0.00032940716,0.013576904,-0.014689321,-0.0243384,0.0023740698
1074,http://mouse.owl#MA_0001709,http://human.owl#NCI_C32692,http://mouse.owl#MA_0001709-http://human.owl#NCI_C32692,True,-0.0663195,0.02540973,-0.047959734,-0.03715156,0.0118221585,0.003298162,0.035532903,0.028341204,-0.05995161,-0.036763698,-0.017228257,-0.034329005,-0.015361927,-0.004521259,0.047242425,-0.03353928,0.028849179,0.054333765,-0.02749437,-0.05999215,0.012051958,-0.025187343,0.043043233,-0.028286286,0.014426691,-0.009814855,0.034441646,0.028632428,-0.043988142,0.01551871,0.032600597,-0.03546937,-0.02646025,-0.039163753,-0.040299885,-0.007235599,0.06412726,-0.032738857,-0.00852778,0.028813748,0.030426243,-0.03101382,-0.043658033,-0.0053785252,0.06127287,0.003209712,0.008956729,-0.008128822,-0.03192257,0.023620686
532,http://mouse.owl#MA_0000018,http://human.owl#NCI_C12788,http://mouse.owl#MA_0000018-http://human.owl#NCI_C12788,True,-0.12439333,0.04477216,-0.047716245,0.02424756,0.062229697,-0.07202762,0.117283694,0.114063054,-0.100384146,-0.050534647,-0.007733307,-0.04653418,-0.040174108,-0.007511328,0.046597965,-0.015097765,0.034722954,0.10568802,-0.10157585,-0.09466014,0.08688108,0.0097264275,0.11565618,-0.021461815,0.047738373,-0.035962597,0.07820663,0.043791108,-0.085002825,-0.0016584888,0.012565274,-0.02433822,0.022408947,-0.05528094,-0.03335175,0.029389208,0.15204048,-0.04042875,0.008219386,0.028183686,0.0069363564,-0.011923559,-0.060899515,0.012922598,0.14765802,0.063698485,0.0036108848,-0.007127165,0.0071676094,0.05806354
199,http://mouse.owl#MA_0002747,http://human.owl#NCI_C32289,http://mouse.owl#MA_0002747-http://human.owl#NCI_C32289,True,-0.043481193,0.013091898,-0.02195883,-0.011484164,0.012131113,-0.021779459,-0.0043536564,-0.004110546,-0.028269354,-0.009924366,0.008125629,-0.0124140745,-0.019615836,0.023647858,0.019326424,0.02665864,0.017334513,0.008506849,-0.024156487,0.026488159,0.0069141313,-0.016541176,0.0133572975,-0.014145985,-0.004006399,-0.024921853,0.01338922,-0.0053752633,-0.013020156,-0.011961525,0.02992249,-0.041841056,0.013154656,-0.016535224,-0.028575288,0.022612186,0.046767347,0.021117304,0.007841811,0.012279116,-0.011710083,0.017438557,0.01857852,0.008644113,0.015901478,-0.0003180122,0.018467553,-0.023955364,0.01032255,0.0011374475
904,http://mouse.owl#MA_0001992,http://human.owl#NCI_C52961,http://mouse.owl#MA_0001992-http://human.owl#NCI_C52961,True,-0.036494147,0.014533256,0.00557814,-0.0059383465,-0.0003838298,-0.00046000257,0.044631306,0.03882511,-0.045476105,-0.0057947654,-0.021102443,-0.026935028,-0.020244945,-0.011414761,0.017613247,0.027629761,0.022352323,0.058719598,-0.022336092,-0.051950186,0.0043177214,0.008595368,0.06959544,-0.021918751,0.02422186,0.016425323,0.031725336,0.022855757,-0.008925031,-0.0022937637,0.018808935,-0.044242095,0.0058970363,0.0060248985,0.010631636,-0.026803788,0.04946046,0.0030100672,0.026592435,0.03735397,0.01448531,0.010965515,0.006741892,-0.044533323,0.04840257,0.002966497,0.033153564,0.022970814,-0.018360332,-0.0056498023
