,source_id,target_id,pair_id,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1506,http://www.bbc.co.uk/things/1223#id,http://www.bbc.co.uk/things/1838487361#id,http://www.bbc.co.uk/things/1223#id-http://www.bbc.co.uk/things/1838487361#id,True,-0.15790870785713196,0.10950535535812378,0.16435497999191284,0.039090175181627274,0.05139806494116783,0.031298089772462845,0.11641470342874527,0.19920440018177032,-0.2526237964630127,0.010704213753342628,0.2152385413646698,-0.11620162427425385,-0.100974902510643,-0.2163308560848236,0.06013062223792076,0.10150572657585144,0.41495615243911743,-0.047523654997348785,-0.19101622700691223,-0.22649356722831726
1198,http://www.bbc.co.uk/things/77#id,http://www.bbc.co.uk/things/50305615#id,http://www.bbc.co.uk/things/77#id-http://www.bbc.co.uk/things/50305615#id,True,-0.1622338443994522,0.11473871767520905,0.22258394956588745,0.07287539541721344,0.09765216708183289,0.045013464987277985,0.10083398222923279,0.24292144179344177,-0.28862062096595764,-0.09019284695386887,0.24404963850975037,-0.15761736035346985,-0.029508475214242935,-0.11723295599222183,-0.0028416290879249573,0.10235537588596344,0.3045802414417267,-0.11033166199922562,-0.2220703512430191,-0.09205201268196106
694,http://www.bbc.co.uk/things/1101#id,http://www.bbc.co.uk/things/823817138#id,http://www.bbc.co.uk/things/1101#id-http://www.bbc.co.uk/things/823817138#id,True,-0.21826975047588348,0.07009599357843399,0.22237330675125122,0.0454845055937767,-0.025842834264039993,0.025698764249682426,0.15145760774612427,0.309182345867157,-0.3699706196784973,-0.05488642677664757,0.18580786883831024,-0.12051114439964294,-0.11141148209571838,-0.08327633142471313,0.08741173893213272,0.10718895494937897,0.4403642416000366,-0.1164402961730957,-0.21198159456253052,-0.14083795249462128
1438,http://www.bbc.co.uk/things/277#id,http://www.bbc.co.uk/things/1604726307#id,http://www.bbc.co.uk/things/277#id-http://www.bbc.co.uk/things/1604726307#id,True,-0.12928864359855652,-0.025741269811987877,0.2968585789203644,-0.0011502094566822052,0.00022877752780914307,-0.00926826149225235,0.08079399168491364,0.33936232328414917,-0.24715490639209747,0.0028442740440368652,0.2595081925392151,-0.0463256798684597,-0.03007761761546135,-0.17142727971076965,0.027991799637675285,0.08739213645458221,0.4498046934604645,-0.14581964910030365,-0.181695356965065,-0.15566860139369965
1188,http://www.bbc.co.uk/things/352#id,http://www.bbc.co.uk/things/1658353548#id,http://www.bbc.co.uk/things/352#id-http://www.bbc.co.uk/things/1658353548#id,True,-0.11185280978679657,0.04690460115671158,0.19288264214992523,-0.01799691841006279,0.04879480600357056,0.1394556164741516,0.13126643002033234,0.183915913105011,-0.21074193716049194,0.007714417763054371,0.3120613694190979,-0.12286815792322159,-0.034795306622982025,-0.10497063398361206,0.1087503582239151,0.14197587966918945,0.3656737208366394,-0.08240194618701935,-0.22598248720169067,-0.17155775427818298
199,http://www.bbc.co.uk/things/1438#id,http://www.bbc.co.uk/things/435248133#id,http://www.bbc.co.uk/things/1438#id-http://www.bbc.co.uk/things/435248133#id,True,-0.08249091356992722,0.10435646027326584,0.19807904958724976,0.048604898154735565,-0.004403453320264816,0.0379253625869751,0.23462942242622375,0.2704509496688843,-0.3143678903579712,-0.04242426156997681,0.24890130758285522,-0.1463000327348709,-0.07452703267335892,-0.1470482051372528,0.08418833464384079,0.14831086993217468,0.4296264350414276,-0.09295427799224854,-0.22268922626972198,-0.11138802766799927
900,http://www.bbc.co.uk/things/203#id,http://www.bbc.co.uk/things/2004686865#id,http://www.bbc.co.uk/things/203#id-http://www.bbc.co.uk/things/2004686865#id,True,-0.13529568910598755,0.0661383718252182,0.16098198294639587,0.054968833923339844,-0.008711684495210648,0.03152566775679588,0.1809111386537552,0.22487832605838776,-0.21049317717552185,-0.04022064059972763,0.23837530612945557,-0.05999474227428436,-0.12144309282302856,-0.06739223003387451,-0.022005092352628708,0.18230243027210236,0.33532190322875977,-0.08703300356864929,-0.24620544910430908,-0.25599974393844604
1295,http://www.bbc.co.uk/things/415#id,http://www.bbc.co.uk/things/1000042332#id,http://www.bbc.co.uk/things/415#id-http://www.bbc.co.uk/things/1000042332#id,True,-0.127832293510437,0.08804352581501007,0.3138945996761322,0.08099924027919769,-0.058731913566589355,0.07741188257932663,0.2284916341304779,0.2128644585609436,-0.32733744382858276,-0.026097754016518593,0.23589706420898438,-0.15626204013824463,-0.01841401867568493,-0.1286187767982483,0.009523609653115273,0.13757142424583435,0.39712876081466675,-0.0627821534872055,-0.2969958782196045,-0.15128646790981293
864,http://www.bbc.co.uk/things/278#id,http://www.bbc.co.uk/things/278#id,http://www.bbc.co.uk/things/278#id-http://www.bbc.co.uk/things/278#id,True,-0.14219282567501068,0.13587571680545807,0.20568403601646423,0.033288806676864624,-0.06984177231788635,-0.022280089557170868,0.13602334260940552,0.2334597110748291,-0.27477389574050903,-0.029442226514220238,0.264462947845459,-0.06410179287195206,-0.09533640742301941,-0.05749214068055153,0.0026372959837317467,0.16776767373085022,0.35222557187080383,-0.15263283252716064,-0.3001658022403717,-0.15898925065994263
1201,http://www.bbc.co.uk/things/762#id,http://www.bbc.co.uk/things/762#id,http://www.bbc.co.uk/things/762#id-http://www.bbc.co.uk/things/762#id,True,-0.15541693568229675,0.0769394189119339,0.1816655695438385,0.0021683834493160248,0.028192171826958656,-0.023195503279566765,0.22627666592597961,0.22663220763206482,-0.3207365870475769,-0.010709960013628006,0.214982271194458,-0.056842878460884094,0.038841623812913895,-0.08601918816566467,0.11156471073627472,0.2208230197429657,0.3845253586769104,-0.06812549382448196,-0.25661951303482056,-0.0746195912361145
