,source_id,target_id,pair_id,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1506,http://www.bbc.co.uk/things/378#id,http://www.bbc.co.uk/things/378#id,http://www.bbc.co.uk/things/378#id-http://www.bbc.co.uk/things/378#id,True,-0.051008790731430054,-0.13678507506847382,0.27654916048049927,0.00021085888147354126,0.06197047233581543,-0.062321729958057404,0.17155173420906067,0.03648094832897186,-0.20925214886665344,-0.07286831736564636,0.11945721507072449,-0.00580438319593668,0.01511463150382042,-0.15462875366210938,0.016514528542757034,-0.12314166128635406,0.16826008260250092,0.17033135890960693,-0.11501100659370422,0.0612567700445652,0.01997978240251541,-0.05515454337000847,-0.11281237006187439,0.10932116955518723,0.03902890160679817,0.1638103425502777,0.17985865473747253,0.2639375925064087,0.057700831443071365,-0.25196588039398193
1198,http://www.bbc.co.uk/things/1325#id,http://www.bbc.co.uk/things/1325#id,http://www.bbc.co.uk/things/1325#id-http://www.bbc.co.uk/things/1325#id,True,-0.050560642033815384,-0.12551164627075195,0.2948380410671234,0.05442193150520325,0.05919494852423668,-0.004495270550251007,0.11837722361087799,0.05268765240907669,-0.2337210774421692,-0.05788928642868996,0.12021002918481827,-0.03771257400512695,0.03125770762562752,-0.10005437582731247,0.026599310338497162,-0.17359939217567444,0.18896761536598206,0.11074353754520416,-0.0944453775882721,-0.009999968111515045,-0.008349969983100891,-0.10732602328062057,-0.025253169238567352,0.06602786481380463,0.018139148131012917,0.12503230571746826,0.16185857355594635,0.21092534065246582,0.0036590236704796553,-0.2820870280265808
694,http://www.bbc.co.uk/things/1619#id,http://www.bbc.co.uk/things/1815383059#id,http://www.bbc.co.uk/things/1619#id-http://www.bbc.co.uk/things/1815383059#id,True,-0.02499484457075596,-0.06893982738256454,0.21601420640945435,-0.061168696731328964,0.12237415462732315,-0.023104917258024216,0.15014205873012543,0.07681037485599518,-0.1717730164527893,-0.026124663650989532,0.21197018027305603,-0.02151256799697876,0.02948710508644581,-0.16547062993049622,0.038788802921772,-0.1369307041168213,0.18410180509090424,0.09809641540050507,-0.1457788199186325,0.07826113700866699,0.06494883447885513,-0.05049016326665878,-0.10917104035615921,0.12035972625017166,0.03837122768163681,0.1734374761581421,0.12338000535964966,0.13500665128231049,-0.012484905309975147,-0.20712098479270935
1438,http://www.bbc.co.uk/things/935#id,http://www.bbc.co.uk/things/1806906995#id,http://www.bbc.co.uk/things/935#id-http://www.bbc.co.uk/things/1806906995#id,True,-0.08857804536819458,-0.11650726199150085,0.24459028244018555,0.05956446751952171,0.11243505030870438,0.005812413990497589,0.22717586159706116,0.09828567504882812,-0.2837536334991455,-0.07074034959077835,0.23062774538993835,-0.02894691377878189,0.0999952033162117,-0.21957793831825256,0.01774625852704048,-0.14704692363739014,0.23394614458084106,0.13287393748760223,-0.20141616463661194,0.018509691581130028,0.016998078674077988,-0.05406634509563446,-0.11048494279384613,0.16237308084964752,0.07452985644340515,0.16181275248527527,0.15583477914333344,0.22563186287879944,0.054122310131788254,-0.3147929906845093
1188,http://www.bbc.co.uk/things/124#id,http://www.bbc.co.uk/things/135460491#id,http://www.bbc.co.uk/things/124#id-http://www.bbc.co.uk/things/135460491#id,True,-0.07634606212377548,-0.15590377151966095,0.31769657135009766,0.056757841259241104,0.017537035048007965,-0.05222718045115471,0.1845083236694336,0.1144314631819725,-0.21517875790596008,-0.05365545302629471,0.18605369329452515,0.08226747065782547,0.10767078399658203,-0.0761701911687851,0.04004845768213272,-0.1656290739774704,0.2443864494562149,0.1266387701034546,-0.16838762164115906,0.00822174921631813,0.0550476610660553,-0.09573274850845337,-0.059198640286922455,0.14809423685073853,0.05840294808149338,0.09923656284809113,0.1537427008152008,0.27871543169021606,0.015549584291875362,-0.27351707220077515
199,http://www.bbc.co.uk/things/1738#id,http://www.bbc.co.uk/things/2138013500#id,http://www.bbc.co.uk/things/1738#id-http://www.bbc.co.uk/things/2138013500#id,True,-0.022783439606428146,-0.12213464826345444,0.3501890301704407,0.002296697348356247,0.04796218499541283,-0.027544740587472916,0.13243788480758667,0.03958253189921379,-0.2493390291929245,-0.04234228655695915,0.19771835207939148,-0.06810741871595383,0.04642249643802643,-0.12403638660907745,-0.003636610461398959,-0.21605536341667175,0.17254894971847534,0.18102961778640747,-0.1081109568476677,0.04903295636177063,0.07550588250160217,-0.1269458830356598,-0.11301463842391968,0.1164138913154602,0.04657838121056557,0.15810364484786987,0.1440940946340561,0.21973460912704468,0.008767693303525448,-0.327389657497406
900,http://www.bbc.co.uk/things/1570#id,http://www.bbc.co.uk/things/1570#id,http://www.bbc.co.uk/things/1570#id-http://www.bbc.co.uk/things/1570#id,True,-0.0495123490691185,-0.11166562139987946,0.19731150567531586,0.025171173736453056,0.030240187421441078,-0.03128054365515709,0.14036747813224792,0.07757662981748581,-0.1903824806213379,-0.06257937103509903,0.2180582582950592,-0.0211156215518713,0.09642338752746582,-0.18555742502212524,-0.011007905937731266,-0.08765210211277008,0.21087130904197693,0.10045306384563446,-0.1691482961177826,0.03423364460468292,0.04039771109819412,-0.08499304205179214,-0.08530619740486145,0.1687101423740387,0.06137968599796295,0.17751485109329224,0.1459774523973465,0.15516440570354462,-0.025687970221042633,-0.252833753824234
1295,http://www.bbc.co.uk/things/1218#id,http://www.bbc.co.uk/things/1218#id,http://www.bbc.co.uk/things/1218#id-http://www.bbc.co.uk/things/1218#id,True,-0.08280672132968903,-0.17948076128959656,0.24255678057670593,0.05557559058070183,0.09803642332553864,0.047852303832769394,0.16938064992427826,0.12523815035820007,-0.1470363736152649,-0.04617186635732651,0.2235456109046936,-0.0669395923614502,0.033279918134212494,-0.1501644253730774,0.002990489825606346,-0.17345857620239258,0.18550364673137665,0.10725139081478119,-0.17529818415641785,0.01296161487698555,-0.004337231162935495,-0.07080559432506561,-0.031792182475328445,0.10156525671482086,0.07091175019741058,0.14664706587791443,0.15367436408996582,0.19039249420166016,-0.03530384227633476,-0.2916109561920166
864,http://www.bbc.co.uk/things/1335#id,http://www.bbc.co.uk/things/1555086092#id,http://www.bbc.co.uk/things/1335#id-http://www.bbc.co.uk/things/1555086092#id,True,-0.12890250980854034,-0.15728655457496643,0.24577152729034424,-0.0026076436042785645,0.02803710475564003,0.007280128076672554,0.1660068780183792,0.11862879246473312,-0.2070123553276062,-0.0837358832359314,0.26905733346939087,-0.03192589432001114,0.12236930429935455,-0.1352391093969345,0.0018492601811885834,-0.14295081794261932,0.2614767551422119,0.10178779065608978,-0.20336493849754333,0.027455676347017288,0.03620317205786705,-0.07199795544147491,-0.024925727397203445,0.07140928506851196,0.06897062808275223,0.2056572586297989,0.1698613464832306,0.17418357729911804,0.002329812850803137,-0.23692360520362854
1201,http://www.bbc.co.uk/things/1125#id,http://www.bbc.co.uk/things/31481802#id,http://www.bbc.co.uk/things/1125#id-http://www.bbc.co.uk/things/31481802#id,True,-0.05696825683116913,-0.06767403334379196,0.27799662947654724,-0.03271543234586716,0.04147627204656601,0.011073021218180656,0.127112478017807,0.07813084125518799,-0.16904188692569733,-0.05625995621085167,0.1699765920639038,0.008908575400710106,0.02232937514781952,-0.1456560492515564,0.061201319098472595,-0.13371193408966064,0.22651652991771698,0.1022648811340332,-0.05773098021745682,0.09066705405712128,0.07317207753658295,-0.06386222690343857,-0.11135940253734589,0.14225918054580688,0.0679984986782074,0.09628337621688843,0.14694836735725403,0.1577073633670807,0.03401815891265869,-0.24684536457061768
