,source_id,target_id,pair_id,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
224,http://www.bbc.co.uk/things/279#id,http://www.bbc.co.uk/things/549609649#id,http://www.bbc.co.uk/things/279#id-http://www.bbc.co.uk/things/549609649#id,True,0.07996731996536255,-0.26465797424316406,0.08521126210689545,-0.1022891104221344,0.2562944293022156,0.1619250625371933,0.3328041732311249,0.2784292697906494,-0.28134530782699585,-0.09114182740449905
68,http://www.bbc.co.uk/things/54#id,http://www.bbc.co.uk/things/1245866090#id,http://www.bbc.co.uk/things/54#id-http://www.bbc.co.uk/things/1245866090#id,True,0.11147622764110565,-0.17131851613521576,0.1504153609275818,-0.22475066781044006,0.020242296159267426,-0.033922649919986725,0.3490259647369385,0.03389498591423035,-0.186353400349617,-0.20205694437026978
222,http://www.bbc.co.uk/things/4#id,http://www.bbc.co.uk/things/4#id,http://www.bbc.co.uk/things/4#id-http://www.bbc.co.uk/things/4#id,True,-0.014086425304412842,-0.18674610555171967,0.15119917690753937,-0.08869839459657669,0.0982474684715271,0.14851781725883484,0.27921387553215027,0.0704362615942955,-0.3290482461452484,0.024780314415693283
37,http://www.bbc.co.uk/things/294#id,http://www.bbc.co.uk/things/294#id,http://www.bbc.co.uk/things/294#id-http://www.bbc.co.uk/things/294#id,True,0.09674634039402008,-0.033055923879146576,0.22408148646354675,-0.11525578796863556,0.17913202941417694,0.02887878566980362,0.2735176384449005,0.12322483956813812,-0.31928426027297974,-0.08160781860351562
16,http://www.bbc.co.uk/things/30#id,http://www.bbc.co.uk/things/348467808#id,http://www.bbc.co.uk/things/30#id-http://www.bbc.co.uk/things/348467808#id,True,0.12085191160440445,-0.19849905371665955,0.19884651899337769,0.031493864953517914,-0.028903737664222717,0.20998048782348633,0.4331479072570801,0.14432740211486816,-0.2027420997619629,-0.15745453536510468
119,http://www.bbc.co.uk/things/325#id,http://www.bbc.co.uk/things/1856471601#id,http://www.bbc.co.uk/things/325#id-http://www.bbc.co.uk/things/1856471601#id,True,0.026661815121769905,-0.12640874087810516,0.3026762306690216,-0.16480183601379395,0.19260956346988678,0.045575372874736786,0.49234363436698914,0.2387530505657196,-0.3480718433856964,0.004884038120508194
268,http://www.bbc.co.uk/things/3#id,http://www.bbc.co.uk/things/489430069#id,http://www.bbc.co.uk/things/3#id-http://www.bbc.co.uk/things/489430069#id,True,0.061982862651348114,-0.1088813841342926,0.08135341107845306,-0.0030099228024482727,0.2215977907180786,0.14409856498241425,0.45267394185066223,0.06725427508354187,-0.17273682355880737,-0.08473781496286392
269,http://www.bbc.co.uk/things/148#id,http://www.bbc.co.uk/things/635220396#id,http://www.bbc.co.uk/things/148#id-http://www.bbc.co.uk/things/635220396#id,True,0.08535042405128479,-0.1469370424747467,0.2103559821844101,-0.04170504957437515,0.07442639023065567,-0.11091499030590057,0.36246341466903687,0.18970336019992828,-0.28056198358535767,0.0814841166138649
67,http://www.bbc.co.uk/things/165#id,http://www.bbc.co.uk/things/108751451#id,http://www.bbc.co.uk/things/165#id-http://www.bbc.co.uk/things/108751451#id,True,0.10383681952953339,-0.16996872425079346,0.1904020458459854,-0.1114884689450264,0.1539352536201477,-0.034561656415462494,0.515783429145813,-0.013628311455249786,-0.2934094965457916,-0.16927124559879303
101,http://www.bbc.co.uk/things/1#id,http://www.bbc.co.uk/things/2020188663#id,http://www.bbc.co.uk/things/1#id-http://www.bbc.co.uk/things/2020188663#id,True,0.10480177402496338,-0.19689491391181946,0.10724660754203796,-0.1781848818063736,0.16019591689109802,0.028203852474689484,0.5371990203857422,0.09763562679290771,-0.23170748353004456,-0.03856302797794342
69,http://www.bbc.co.uk/things/223#id,http://www.bbc.co.uk/things/223#id,http://www.bbc.co.uk/things/223#id-http://www.bbc.co.uk/things/223#id,True,0.10806392133235931,-0.11340726166963577,0.25208303332328796,-0.2447320520877838,0.1234944760799408,0.08141133189201355,0.4055436849594116,0.2761606276035309,-0.39042019844055176,0.044991180300712585
31,http://www.bbc.co.uk/things/330#id,http://www.bbc.co.uk/things/410580151#id,http://www.bbc.co.uk/things/330#id-http://www.bbc.co.uk/things/410580151#id,True,0.18669679760932922,-0.21220935881137848,0.03974616527557373,-0.10692554712295532,0.07628562301397324,0.06911420822143555,0.3336024284362793,0.14984646439552307,-0.3067505955696106,-0.0020083924755454063
172,http://www.bbc.co.uk/things/228#id,http://www.bbc.co.uk/things/1262982989#id,http://www.bbc.co.uk/things/228#id-http://www.bbc.co.uk/things/1262982989#id,True,0.11410319060087204,-0.1774892657995224,0.09482037276029587,-0.07262305915355682,0.08337213844060898,0.04292155057191849,0.2226358950138092,0.2201789766550064,-0.4038721024990082,0.009937144815921783
