,source_id,target_id,pair_id,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39
534,http://www.Department0.University0.edu/Publication157,http://www.ldbc.eu/1e5b7654-f60c-4e28-931a-103a93ba9e28,http://www.Department0.University0.edu/Publication157-http://www.ldbc.eu/1e5b7654-f60c-4e28-931a-103a93ba9e28,True,-0.1033301055431366,0.04975353926420212,0.04132753610610962,0.1043863594532013,-0.05298174172639847,0.037848103791475296,0.024126052856445312,0.09771876037120819,-0.060028620064258575,0.09525348246097565,0.06493668258190155,-0.014271006919443607,0.04791170358657837,-0.002648657187819481,0.11700435727834702,0.05906902253627777,0.026570362970232964,0.006092040799558163,-0.009180480614304543,-0.06050267070531845,-0.0024867344181984663,-0.007726789452135563,0.06262975931167603,0.04445045813918114,-0.020209573209285736,-0.019182465970516205,0.01701970398426056,0.15910443663597107,-0.10660098493099213,-0.04134034365415573,0.12454211711883545,-0.09803138673305511,0.025692809373140335,-0.0783858448266983,0.010641781613230705,0.054797880351543427,0.23671144247055054,-0.07847130298614502,-0.10922378301620483,-0.10121490061283112
543,http://www.Department0.University0.edu/GraduateStudent68,http://www.ldbc.eu/7c399cda-08fa-48be-b605-ab5b73471922,http://www.Department0.University0.edu/GraduateStudent68-http://www.ldbc.eu/7c399cda-08fa-48be-b605-ab5b73471922,True,-0.15694549679756165,0.1139981597661972,0.1365293264389038,0.18705657124519348,-0.04214702174067497,0.057598985731601715,0.045640550553798676,0.23344853520393372,-0.12318097054958344,0.23286059498786926,0.1878739446401596,-0.13020573556423187,0.06681523472070694,-0.05383067950606346,0.23616427183151245,0.1641111969947815,0.008265769109129906,-0.06253671646118164,0.016992418095469475,-0.16149035096168518,0.0021793339401483536,-0.0042748767882585526,0.18799957633018494,0.0039675734005868435,-0.0028869397938251495,-0.09199248254299164,0.08035245537757874,0.4003538489341736,-0.2532833218574524,-0.03899390622973442,0.2079865038394928,-0.09823760390281677,0.11078231781721115,-0.13281576335430145,0.0111733078956604,0.2107108235359192,0.5519082546234131,-0.1534576565027237,-0.27501770853996277,-0.25083184242248535
989,http://www.Department0.University0.edu/UndergraduateStudent400,http://www.ldbc.eu/31a7c621-1700-42e6-87d8-8813cbf4f7a0,http://www.Department0.University0.edu/UndergraduateStudent400-http://www.ldbc.eu/31a7c621-1700-42e6-87d8-8813cbf4f7a0,True,-0.16084346175193787,0.06181054189801216,0.06050325930118561,0.13764700293540955,0.013214529491961002,0.010271708481013775,0.046230074018239975,0.13761290907859802,-0.053610485047101974,0.11321432888507843,0.09483295679092407,-0.07118114084005356,0.04472150653600693,-0.056105971336364746,0.18676763772964478,0.0860157161951065,0.02006007917225361,-0.027843913063406944,0.011371301487088203,-0.14807260036468506,-0.012501182034611702,-0.014963211491703987,0.0866665318608284,0.032524608075618744,-0.02745509333908558,-0.07495048642158508,0.06637819111347198,0.296560138463974,-0.2136264145374298,-0.027732359245419502,0.1303255707025528,-0.12147743999958038,0.07548467814922333,-0.07611589133739471,-0.01268332451581955,0.12671984732151031,0.3873453140258789,-0.11888379603624344,-0.17247116565704346,-0.20473606884479523
996,http://www.Department0.University0.edu/UndergraduateStudent333,http://www.ldbc.eu/88d781e8-4063-4676-84c9-6867f9ef7494,http://www.Department0.University0.edu/UndergraduateStudent333-http://www.ldbc.eu/88d781e8-4063-4676-84c9-6867f9ef7494,True,-0.13427647948265076,0.118375763297081,0.06632156670093536,0.10075445473194122,-0.04177488759160042,0.03360705077648163,0.012948323972523212,0.10782107710838318,-0.07054699957370758,0.15103887021541595,0.09938448667526245,-0.045929040759801865,0.015718862414360046,-0.06918827444314957,0.1466878056526184,0.0664573609828949,0.019636252894997597,0.018309080973267555,-0.0023421193473041058,-0.11263056099414825,-0.001039532944560051,-0.0010090088471770287,0.09486451745033264,0.01943681202828884,0.03765812888741493,-0.03559253364801407,0.04312576726078987,0.2684463858604431,-0.19401590526103973,-0.016831304877996445,0.131413996219635,-0.09652119129896164,0.03850991651415825,-0.05759292095899582,-0.005789489019662142,0.14264768362045288,0.37273961305618286,-0.04852006211876869,-0.17712071537971497,-0.16276362538337708
997,http://www.Department0.University0.edu/UndergraduateStudent312,http://www.ldbc.eu/d349669b-b563-4ad1-bfb2-068d57894322,http://www.Department0.University0.edu/UndergraduateStudent312-http://www.ldbc.eu/d349669b-b563-4ad1-bfb2-068d57894322,True,-0.10624976456165314,0.04891176521778107,0.06639205664396286,0.0825667753815651,-0.0186696145683527,0.03926927596330643,0.008194195106625557,0.09730689227581024,-0.03379325941205025,0.10866372287273407,0.0935538113117218,-0.04816804826259613,0.011362358927726746,-0.0021237852051854134,0.08001164346933365,0.06754742562770844,0.026676584035158157,0.01885225996375084,-0.025625526905059814,-0.11651463061571121,-0.0006379829719662666,0.026445964351296425,0.04761777073144913,-0.014159206300973892,-0.03661845996975899,-0.022521071135997772,0.02781953476369381,0.16488103568553925,-0.11142487823963165,-0.07081249356269836,0.14030669629573822,-0.07044888287782669,0.05650638788938522,-0.06052311509847641,-0.023379594087600708,0.08388007432222366,0.2898068428039551,-0.062229640781879425,-0.17512714862823486,-0.15845538675785065
893,http://www.Department0.University0.edu/UndergraduateStudent106,http://www.ldbc.eu/e2bc4ab6-9467-40bc-8630-8297a7fd5c70,http://www.Department0.University0.edu/UndergraduateStudent106-http://www.ldbc.eu/e2bc4ab6-9467-40bc-8630-8297a7fd5c70,True,-0.16685284674167633,0.07451939582824707,0.08879625797271729,0.1336061954498291,-0.02341856062412262,0.03165442496538162,0.014137063175439835,0.1276482194662094,-0.07187848538160324,0.1400468349456787,0.0743727907538414,-0.061750248074531555,0.04424723982810974,-0.02091299369931221,0.1353333443403244,0.0856698676943779,0.039571378380060196,-0.0009017963893711567,0.024364573881030083,-0.10007911175489426,0.0012686178088188171,0.021259069442749023,0.13570360839366913,0.031846605241298676,0.0041450560092926025,-0.025691865012049675,0.050994765013456345,0.2938630282878876,-0.17532427608966827,-0.04199666529893875,0.12411684542894363,-0.06965930014848709,0.0720634013414383,-0.09679289162158966,0.025647124275565147,0.1668999195098877,0.4074830412864685,-0.08664367347955704,-0.2256283164024353,-0.20950880646705627
316,http://www.Department0.University0.edu/GraduateStudent69,http://www.ldbc.eu/4b8c086d-20f2-43ee-a26d-47ec5daf6e83,http://www.Department0.University0.edu/GraduateStudent69-http://www.ldbc.eu/4b8c086d-20f2-43ee-a26d-47ec5daf6e83,True,-0.13424822688102722,0.03874238207936287,0.08575984835624695,0.10303753614425659,-0.04950094223022461,0.03897787630558014,0.02013862505555153,0.102287657558918,-0.10302456468343735,0.15190908312797546,0.10861784219741821,-0.08079519867897034,0.025920122861862183,-0.048620596528053284,0.1914384961128235,0.12016451358795166,0.02437010034918785,-0.026540488004684448,-0.04453938454389572,-0.15646637976169586,-0.05385270342230797,-0.023303434252738953,0.08195275813341141,0.03555554524064064,0.0341874435544014,-0.048994213342666626,0.014812140725553036,0.29689812660217285,-0.19737982749938965,-0.032258324325084686,0.15039733052253723,-0.12106320261955261,0.0564083531498909,-0.05590754747390747,0.0261493232101202,0.1850397288799286,0.43831369280815125,-0.09820336103439331,-0.1705024391412735,-0.20020036399364471
731,http://www.Department0.University0.edu/Publication102,http://www.ldbc.eu/e601634d-0b6c-411f-b275-f8ef0a0b2fd7,http://www.Department0.University0.edu/Publication102-http://www.ldbc.eu/e601634d-0b6c-411f-b275-f8ef0a0b2fd7,True,-0.051079925149679184,0.01169734075665474,0.016694605350494385,0.02824489213526249,0.011883675120770931,0.046639248728752136,-0.013197696767747402,0.06223709136247635,-0.04058852046728134,0.04971582442522049,0.018310172483325005,-0.06662003695964813,0.008305691182613373,-0.03182625398039818,0.05709713697433472,0.01053932961076498,0.011397424153983593,-0.019287288188934326,0.008325974456965923,-0.06307812035083771,-0.01924259401857853,-0.013996167108416557,0.06569381803274155,-0.037057023495435715,-0.021798264235258102,0.004523401148617268,0.022279728204011917,0.1330680400133133,-0.09444943815469742,0.0064111449755728245,0.03222353383898735,-0.06255784630775452,-0.0006449001375585794,-0.039004914462566376,-0.011567702516913414,0.04687809199094772,0.1692017912864685,-0.023232512176036835,-0.04235163331031799,-0.09311468154191971
802,http://www.College0.University0.edu/woman_student226,http://www.ldbc.eu/e5baaaed-1f5d-4014-a5c9-3f3d8f18dc21,http://www.College0.University0.edu/woman_student226-http://www.ldbc.eu/e5baaaed-1f5d-4014-a5c9-3f3d8f18dc21,True,-0.0664716437458992,0.07801885157823563,0.0627361312508583,0.11097095906734467,0.01073070615530014,0.04900021478533745,-0.007558186538517475,0.13143423199653625,-0.0914464145898819,0.09839613735675812,0.092547707259655,-0.08581402152776718,0.0723293349146843,-0.042925454676151276,0.12348276376724243,0.028943276032805443,0.005684429779648781,-0.020879950374364853,-0.0012046284973621368,-0.1119999885559082,-0.0008203014731407166,0.013550305739045143,0.10616588592529297,0.019299600273370743,-0.03026404231786728,0.001514265313744545,0.03932651877403259,0.22927480936050415,-0.13874241709709167,0.012778368778526783,0.12555716931819916,-0.06693451851606369,0.09368792176246643,-0.09973275661468506,-0.00013818219304084778,0.1041681244969368,0.3118680715560913,-0.06931938976049423,-0.18345986306667328,-0.1317429095506668
589,http://www.Department0.University0.edu/ResearchGroup11,http://www.ldbc.eu/14514665-6aed-4bef-97f7-d31f2834a3f9,http://www.Department0.University0.edu/ResearchGroup11-http://www.ldbc.eu/14514665-6aed-4bef-97f7-d31f2834a3f9,True,0.010711130686104298,0.01506873033940792,0.023456089198589325,0.03551925718784332,-0.002587953582406044,0.042016901075839996,0.04161867871880531,0.02246139943599701,-0.025352705270051956,0.043340377509593964,0.017660485580563545,-0.027795806527137756,0.0014988146722316742,-0.0025429651141166687,0.03616613149642944,-0.006541092414408922,0.033934205770492554,-0.03131508082151413,0.024904368445277214,0.0006532929837703705,0.016196394339203835,0.0039911759085953236,0.01771666295826435,-0.0007657140959054232,0.036508262157440186,-0.04876454174518585,0.024970360100269318,0.04393386468291283,-0.014978845603764057,-0.012280474416911602,0.0203220434486866,0.0033644530922174454,-0.020424172282218933,0.011856048367917538,0.00031144730746746063,0.04149381071329117,0.07042065262794495,-0.0066534229554235935,-0.06927818059921265,-0.041849225759506226
1143,http://www.Department0.University0.edu/UndergraduateStudent382,http://www.ldbc.eu/38e22116-cd9b-42a5-b30b-51285efe6e40,http://www.Department0.University0.edu/UndergraduateStudent382-http://www.ldbc.eu/38e22116-cd9b-42a5-b30b-51285efe6e40,True,-0.1011744886636734,0.10719393193721771,0.10799440741539001,0.16118010878562927,-0.02753511443734169,0.06767506897449493,0.033563386648893356,0.14322757720947266,-0.10469184815883636,0.15915557742118835,0.13742579519748688,-0.10425294935703278,0.06345401704311371,-0.032938964664936066,0.18806369602680206,0.13984978199005127,0.019458163529634476,-0.023942572996020317,-0.006693103816360235,-0.1313902586698532,-0.036470916122198105,0.032297924160957336,0.16003626585006714,0.023352643474936485,-0.02853919006884098,-0.02183016762137413,0.019144365563988686,0.29708749055862427,-0.18364465236663818,-0.04087315872311592,0.15692797303199768,-0.07171707600355148,0.0985681340098381,-0.0761563628911972,0.03138875961303711,0.1593700647354126,0.4591866135597229,-0.11767778545618057,-0.22912627458572388,-0.19332872331142426
