Model,Accuracy,Precision,Recall,F1-score
AdaBoostClassifier,0.53,0.53,0.53,0.53
BaggingClassifier,0.51,0.51,0.43,0.47
BernoulliNB,0.48,0.48,0.51,0.5
CalibratedClassifierCV,0.54,0.54,0.54,0.54
DecisionTreeClassifier,0.5,0.5,0.52,0.51
DummyClassifier,0.5,0.0,0.0,0.0
ExtraTreeClassifier,0.49,0.49,0.5,0.49
ExtraTreesClassifier,0.51,0.51,0.5,0.51
GaussianNB,0.52,0.52,0.38,0.44
KNeighborsClassifier,0.51,0.51,0.53,0.52
LinearSVC,0.46,0.46,0.45,0.46
LogisticRegression,0.46,0.46,0.45,0.46
NearestCentroid,0.48,0.48,0.49,0.49
NuSVC,0.51,0.51,0.56,0.53
PassiveAggressiveClassifier,0.5,0.5,0.34,0.4
Perceptron,0.51,0.51,0.33,0.4
QuadraticDiscriminantAnalysis,0.5,0.5,0.41,0.45
RandomForestClassifier,0.53,0.53,0.53,0.53
RidgeClassifier,0.46,0.46,0.45,0.46
RidgeClassifierCV,0.46,0.46,0.45,0.46
SGDClassifier,0.52,0.52,0.48,0.5
SVC,0.54,0.54,0.49,0.51
XGBClassifier,0.51,0.51,0.51,0.51
LGBMClassifier,0.52,0.52,0.55,0.54
