Model,Accuracy,Precision,Recall,F1-score
AdaBoostClassifier,0.53,0.52,0.43,0.47
BaggingClassifier,0.49,0.46,0.29,0.36
BernoulliNB,0.46,0.44,0.38,0.4
CalibratedClassifierCV,0.61,0.63,0.5,0.56
DecisionTreeClassifier,0.52,0.51,0.44,0.47
DummyClassifier,0.51,0.0,0.0,0.0
ExtraTreeClassifier,0.51,0.49,0.47,0.48
ExtraTreesClassifier,0.45,0.4,0.26,0.32
GaussianNB,0.49,0.45,0.25,0.32
KNeighborsClassifier,0.45,0.4,0.26,0.32
LinearSVC,0.43,0.4,0.35,0.37
LogisticRegression,0.44,0.41,0.36,0.39
NearestCentroid,0.44,0.4,0.29,0.34
NuSVC,0.44,0.4,0.31,0.35
PassiveAggressiveClassifier,0.49,0.47,0.38,0.42
Perceptron,0.49,0.48,0.74,0.58
QuadraticDiscriminantAnalysis,0.47,0.45,0.4,0.43
RandomForestClassifier,0.47,0.44,0.38,0.41
RidgeClassifier,0.44,0.42,0.38,0.39
RidgeClassifierCV,0.43,0.4,0.35,0.37
SGDClassifier,0.47,0.45,0.35,0.39
SVC,0.44,0.41,0.33,0.37
XGBClassifier,0.47,0.44,0.36,0.4
LGBMClassifier,0.45,0.42,0.32,0.36
